Method,GUID,Leaky,Re-use,Sync,Cache,Format,Ops/sec,Deviation,Mean,MOE,RME,Samples,SEM,Variance
crypto.randomBytes,Y,N,Y,Y,4096,hex,1144096.3674569412,3.3576658275525584e-8,8.740522463354781e-7,6.937009469363083e-9,0.7936607334912706,90,3.5392905455934098e-9,1.1273919809514209e-15
crypto.randomBytes,Y,N,N,N,4096,hex,851989.2777173427,6.90970481263897e-8,0.000001173723691311244,1.5334452141256203e-8,1.306478880402003,78,7.823700072069492e-9,4.7744020597806155e-15
crypto.randomBytes,Y,N,Y,N,4096,hex,763646.8780105385,1.1090669181923975e-7,0.000001309505779170094,2.6360847344669443e-8,2.0130378776469215,68,1.3449411910545635e-8,1.230029429028782e-14
crypto.randomBytes,Y,N,N,Y,4096,buffer,1752367.3906203406,5.3395261958486214e-8,5.706565902518869e-7,1.1285207978898948e-8,1.9775830458591,86,5.757759172907627e-9,2.8510539996153653e-15
crypto.randomBytes,Y,N,Y,Y,4096,buffer,1723617.3960840574,2.6886855070551778e-8,5.801751608401799e-7,5.4941708942561225e-9,0.9469848530398555,92,2.803148415436797e-9,7.229029755848558e-16
crypto.randomBytes,Y,N,N,N,4096,buffer,1235273.632762359,4.069811477465714e-8,8.095372340813002e-7,9.150052110812793e-9,1.1302818110888613,76,4.66839393408816e-9,1.6563365462111658e-15
crypto.randomBytes,Y,N,Y,N,4096,buffer,1120799.9705720877,8.253398325035894e-8,8.922198663955817e-7,1.855590244990891e-8,2.0797454919796436,76,9.467297168320874e-9,6.811858391170529e-15
crypto.randomBytes,Y,N,N,Y,65536,hex,1257905.8300851253,1.779163851657238e-8,7.949720687218118e-7,3.6963834254436193e-9,0.46497022610955546,89,1.885909910940622e-9,3.165424011043818e-16
crypto.randomBytes,Y,N,Y,Y,65536,hex,1167417.7351873321,5.686453235758498e-8,8.565914067080134e-7,1.2383831491207395e-8,1.4457104512406902,81,6.318281373064998e-9,3.2335750402468295e-15
crypto.randomBytes,Y,N,N,N,65536,hex,981184.1975528041,3.8958909845251146e-8,0.0000010191766260546438,8.701968455439612e-9,0.853823393608033,77,4.439779824203884e-9,1.517796656330407e-15
crypto.randomBytes,Y,N,Y,N,65536,hex,911565.1249572685,4.942957585805026e-8,0.0000010970143247273496,1.0969722816109376e-8,0.9999616749613343,78,5.596797355157845e-9,2.443282969506745e-15
crypto.randomBytes,Y,N,N,Y,65536,buffer,1896842.8698176078,1.976431737924542e-8,5.271917963854094e-7,4.060852306497202e-9,0.7702798742961605,91,2.0718634216822457e-9,3.9062824146754247e-16
crypto.randomBytes,Y,N,Y,Y,65536,buffer,1799147.0269028572,1.4953332411925074e-8,5.558189436699071e-7,3.089390483378424e-9,0.5558267703112273,90,1.576219634376747e-9,2.2360215022152894e-16
crypto.randomBytes,Y,N,N,N,65536,buffer,1436612.2883946972,5.0893964812833046e-8,6.960820313721682e-7,1.1367814914038488e-8,1.6331142597704202,77,5.799905568386984e-9,2.590195654369888e-15
crypto.randomBytes,Y,N,Y,N,65536,buffer,1404341.3998477145,3.626678805855796e-8,7.120775618438928e-7,8.04855403929535e-9,1.130291764629401,78,4.106405122089464e-9,1.3152799160843619e-15
crypto.randomFillSync,Y,N,Y,Y,,hex,318268.30856968067,1.2430779183399874e-7,0.0000031420030618004907,2.5540754760129254e-8,0.8128812817099358,91,1.3030997326596558e-8,1.545242711064476e-14
crypto.randomFillSync,Y,N,Y,Y,,buffer,346922.60445781954,1.4542039163694355e-7,0.0000028824872958705827,2.955560862503299e-8,1.025350872053244,93,1.5079392155629077e-8,2.1147090303842046e-14
crypto.randomFillSync,Y,N,N,Y,256,hex,1062178.871311756,1.827254750846978e-8,9.414610166035714e-7,3.775147426986092e-9,0.40098818330315683,90,1.9260956260133124e-9,3.3388599244928514e-16
crypto.randomFillSync,Y,N,Y,Y,256,hex,1029553.8365576878,4.1688261056761494e-8,9.712945204920016e-7,8.383165662541126e-9,0.8630920370367887,95,4.2771253380311865e-9,1.7379111099366967e-15
crypto.randomFillSync,Y,N,N,Y,256,buffer,1531608.1790798663,3.4076309315872545e-8,6.529085007895186e-7,7.001448956065907e-9,1.0723476486520733,91,3.5721678347275036e-9,1.161194856591022e-15
crypto.randomFillSync,Y,N,Y,Y,256,buffer,1499337.398955478,3.14568718632969e-8,6.669612861632449e-7,6.572495063250315e-9,0.9854387652781448,88,3.353313807780773e-9,9.895347874238803e-16
crypto.randomFillSync,Y,N,N,Y,4096,hex,1315217.1388447946,3.350581038584946e-8,7.60330724459946e-7,6.809805745132885e-9,0.8956373228202518,93,3.4743906862922886e-9,1.1226393296124979e-15
crypto.randomFillSync,Y,N,Y,Y,4096,hex,1280109.2609184561,2.8722876430139353e-8,7.811833181196717e-7,5.806575460727484e-9,0.7433051021499103,94,2.9625385003711654e-9,8.250036304210547e-16
crypto.randomFillSync,Y,N,N,Y,4096,buffer,2052726.1601052773,8.797067600692684e-8,4.871570399573967e-7,1.827675109373349e-8,3.751716509183947,89,9.324873007006882e-9,7.738839837115694e-15
crypto.randomFillSync,Y,N,Y,Y,4096,buffer,2017966.1674315156,3.252222316740928e-8,4.955484468170289e-7,6.574645942285433e-9,1.32674130743729,94,3.354411195043588e-9,1.057694999750773e-15
crypto.randomFillSync,Y,N,N,Y,65536,hex,1419989.4413471061,1.3921817264589558e-8,7.042305885396772e-7,3.465422218925584e-9,0.492086296068399,62,1.7680725606763185e-9,1.9381699594862389e-16
